強化次數,單次消耗金幣,累積消耗金幣
144,69707,4160190
145,70510,4230700
146,71318,4302018
147,72131,4374149
148,72948,4447097
149,73769,4520866
150,74595,4595461
151,75425,4670886
152,76260,4747146
153,77099,4824245
154,77941,4902186
155,78788,4980974
156,79639,5060613
157,80494,5141107
158,81353,5222460
159,82215,5304675
160,83081,5387756
161,83951,5471707
162,84824,5556531
163,85701,5642232
164,86581,5728813
165,87465,5816278
166,88352,5904630
167,89242,5993872
168,90136,6084008
169,91032,6175040
170,91932,6266972
171,92835,6359807
172,93740,6453547
173,94648,6548195
174,95559,6643754
175,96473,6740227
176,97390,6837617
177,98309,6935926
178,99230,7035156
179,100154,7135310
180,101080,7236390
181,102009,7338399
182,102940,7441339
183,103873,7545212
184,104808,7650020
185,105745,7755765
186,106684,7862449
187,107625,7970074
188,108568,8078642
189,109513,8188155
190,110459,8298614
191,111407,8410021
192,112356,8522377
193,113307,8635684
194,114260,8749944
195,115213,8865157
196,116168,8981325
197,117125,9098450
198,118082,9216532
199,119040,9335572
200,120000,9455572
201,120969,9576541
202,121955,9698496
203,122957,9821453
204,123977,9945430
205,125012,10070442
206,126063,10196505
207,127129,10323634
208,128210,10451844
209,129306,10581150
210,130416,10711566
211,131540,10843106
212,132677,10975783
213,133827,11109610
214,134989,11244599
215,136164,11380763
216,137351,11518114
217,138549,11656663
218,139758,11796421
219,140978,11937399
220,142208,12079607
221,143448,12223055
222,144698,12367753
223,145957,12513710
224,147224,12660934
225,148500,12809434
226,149784,12959218
227,151075,13110293
228,152374,13262667
229,153680,13416347
230,154992,13571339
231,156310,13727649
232,157634,13885283
233,158963,14044246
234,160297,14204543
235,161636,14366179
236,162979,14529158
237,164325,14693483
238,165675,14859158
239,167028,15026186
240,168384,15194570
241,169742,15364312
242,171102,15535414
243,172463,15707877
244,173825,15881702
245,175188,16056890
246,176551,16233441
247,177915,16411356
248,179277,16590633
249,180639,16771272
250,182000,16953272
251,183359,17136631
252,184716,17321347
253,186071,17507418
254,187423,17694841
255,188772,17883613
256,190117,18073730
257,191459,18265189
258,192796,18457985
259,194129,18652114
260,195456,18847570
261,196778,19044348
262,198094,19242442
263,199404,19441846
264,200708,19642554
265,202004,19844558
266,203293,20047851
267,204574,20252425
268,205848,20458273
269,207112,20665385
270,208368,20873753
271,209614,21083367
272,210851,21294218
273,212078,21506296
274,213294,21719590
275,214500,21934090
276,215694,22149784
277,216877,22366661
278,218048,22584709
279,219206,22803915
280,220352,23024267
281,221485,23245752
282,222604,23468356
283,223709,23692065
284,224800,23916865
285,225876,24142741
286,226937,24369678
287,227983,24597661
288,229013,24826674
289,230027,25056701
290,231024,25287725
291,232004,25519729
292,232967,25752696
293,233912,25986608
294,234839,26221447
295,235748,26457195
296,236638,26693833
297,237508,26931341
298,238359,27169700
299,239190,27408890
300,240000,27648890
301,240799,27889689
302,241596,28131285
303,242391,28373676
304,243183,28616859
305,243974,28860833
306,244762,29105595
307,245548,29351143
308,246331,29597474
309,247112,29844586
310,247890,30092476
311,248666,30341142
312,249439,30590581
313,250209,30840790
314,250977,31091767
315,251741,31343508
316,252503,31596011
317,253262,31849273
318,254018,32103291
319,254770,32358061
320,255520,32613581
321,256266,32869847
322,257010,33126857
323,257749,33384606
324,258486,33643092
325,259219,33902311
326,259948,34162259
327,260674,34422933
328,261396,34684329
329,262115,34946444
330,262830,35209274
331,263541,35472815
332,264248,35737063
333,264952,36002015
334,265651,36267666
335,266346,36534012
336,267037,36801049
337,267724,37068773
338,268407,37337180
339,269086,37606266
340,269760,37876026
341,270430,38146456
342,271095,38417551
343,271756,38689307
344,272412,38961719
345,273064,39234783
346,273711,39508494
347,274353,39782847
348,274990,40057837
349,275623,40333460
350,276250,40609710
351,276872,40886582
352,277490,41164072
353,278102,41442174
354,278709,41720883
355,279311,42000194
356,279908,42280102
357,280499,42560601
358,281085,42841686
359,281665,43123351
360,282240,43405591
361,282809,43688400
362,283373,43971773
363,283931,44255704
364,284483,44540187
365,285029,44825216
366,285569,45110785
367,286103,45396888
368,286632,45683520
369,287154,45970674
370,287670,46258344
371,288180,46546524
372,288684,46835208
373,289181,47124389
374,289672,47414061
375,290156,47704217
376,290634,47994851
377,291106,48285957
378,291570,48577527
379,292029,48869556
380,292480,49162036
381,292925,49454961
382,293362,49748323
383,293793,50042116
384,294217,50336333
385,294634,50630967
386,295043,50926010
387,295446,51221456
388,295841,51517297
389,296229,51813526
390,296610,52110136
391,296983,52407119
392,297349,52704468
393,297707,53002175
394,298058,53300233
395,298401,53598634
396,298737,53897371
397,299064,54196435
398,299384,54495819
399,299696,54795515
400,300000,55095515
